D,0,A,80,50,11.075,7.020
G,30,AB,10,50,17.270,6.288
A,0,B,80,50,11.526,8.132
G,40,AB,10,50,18.267,6.365
J,20,AB,80,75,22.413,22.562
D,30,A,50,50,14.948,11.181
D,40,A,80,50,17.827,19.760
G,40,AB,80,50,34.329,28.112
D,40,A,50,50,17.938,12.520
D,0,A,10,50,11.075,7.020
D,30,A,10,50,11.075,7.629
G,30,AB,50,50,25.877,14.721
J,30,AB,80,75,28.099,24.762
J,20,AB,10,75,11.738,5.506
G,30,AB,10,50,16.701,6.780
A,0,B,50,50,7.118,8.457
A,20,B,10,50,18.554,9.915
J,0,AB,50,75,11.072,5.020
J,40,AB,50,75,24.334,15.689
J,40,AB,80,75,30.826,26.944
J,0,AB,10,75,12.203,5.152
A,40,B,10,50,24.201,9.362
G,20,AB,10,50,15.152,5.922
D,30,A,80,50,17.577,17.895
D,40,A,10,50,14.227,7.672
D,30,A,10,50,10.706,7.615
J,30,AB,50,75,21.460,15.613
A,40,B,50,50,30.359,26.869
A,0,B,50,50,11.526,8.132
A,40,B,10,50,22.969,9.903
G,20,AB,10,50,15.676,6.045
J,20,AB,80,75,21.041,19.836
A,40,B,50,50,30.001,27.824
D,30,A,50,50,16.491,12.379
D,0,A,80,50,10.706,8.921
G,20,AB,10,50,14.911,6.647
J,20,AB,50,75,18.281,14.868
D,0,A,10,50,10.706,8.921
A,30,B,50,50,29.228,24.331
J,20,AB,80,75,18.980,22.582
J,30,AB,10,75,13.582,5.835
A,0,B,50,50,7.816,6.540
G,30,AB,80,50,32.899,25.294
J,20,AB,10,75,11.404,5.252
A,0,B,80,50,7.816,6.540
D,0,A,50,50,10.706,8.921
A,20,B,10,50,20.048,8.816
G,0,AB,50,50,8.701,6.016
G,20,AB,50,50,19.326,13.053
D,40,A,50,50,16.204,13.086
A,40,B,80,50,46.960,42.368
A,20,B,10,50,18.027,9.540
D,20,A,80,50,14.973,15.528
A,30,B,50,50,29.566,24.664
J,0,AB,80,75,12.203,5.152
J,0,AB,50,75,12.203,5.152
J,20,AB,10,75,12.687,5.570
D,40,A,80,50,18.544,19.871
J,40,AB,50,75,23.573,15.344
D,20,A,10,50,10.410,7.038
A,0,B,10,50,7.816,6.540
G,40,AB,10,50,17.124,6.812
F,0,A,5,75,6.564,7.502
F,0,A,40,75,6.564,7.502
F,0,A,70,75,6.564,7.502
C,0,B,5,75,6.416,6.834
C,0,B,40,75,6.416,6.834
C,0,B,70,75,6.416,6.834
F,20,A,5,75,8.412,5.907
F,20,A,40,75,8.719,7.828
F,20,A,70,75,16.222,14.015
C,20,B,5,75,15.620,7.690
C,20,B,40,75,21.489,14.345
C,20,B,70,75,29.561,24.392
F,30,A,5,75,10.083,6.352
F,30,A,40,75,10.209,9.117
F,30,A,70,75,16.621,15.157
C,30,B,5,75,18.973,8.612
C,30,B,40,75,20.641,16.115
C,30,B,70,75,31.738,25.056
F,40,A,5,75,10.528,6.203
F,40,A,40,75,11.402,8.986
F,40,A,70,75,16.535,15.733
C,40,B,5,75,18.189,8.935
C,40,B,40,75,23.509,17.991
C,40,B,70,75,36.263,31.003
F,0,A,5,75,7.071,5.863
F,0,A,40,75,7.071,5.863
F,0,A,70,75,7.071,5.863
C,0,B,5,75,11.177,9.656
C,0,B,40,75,11.177,9.656
C,0,B,70,75,11.177,9.656
F,20,A,5,75,8.287,6.468
F,20,A,40,75,9.264,8.705
F,20,A,70,75,17.096,14.156
C,20,B,5,75,15.797,7.366
C,20,B,40,75,21.356,14.880
C,20,B,70,75,29.544,26.642
F,30,A,5,75,9.146,6.909
F,30,A,40,75,11.473,8.571
F,30,A,70,75,17.503,14.392
C,30,B,5,75,18.229,8.625
C,30,B,40,75,22.421,16.147
C,30,B,70,75,30.821,27.861
F,40,A,5,75,9.928,6.542
F,40,A,40,75,12.254,8.616
F,40,A,70,75,18.678,15.617
C,40,B,5,75,18.527,8.125
C,40,B,40,75,23.557,18.486
C,40,B,70,75,34.258,34.532
F,0,A,5,75,11.020,7.185
F,0,A,40,75,11.020,7.185
F,0,A,70,75,11.020,7.185
C,0,B,5,75,7.445,5.576
C,0,B,40,75,7.445,5.576
C,0,B,70,75,7.445,5.576
F,20,A,5,75,8.624,6.421
F,20,A,40,75,11.155,7.913
F,20,A,70,75,15.278,12.448
C,20,B,5,75,15.653,8.017
C,20,B,40,75,19.297,15.463
C,20,B,70,75,30.531,25.592
F,30,A,5,75,9.261,6.367
F,30,A,40,75,11.587,9.016
F,30,A,70,75,15.900,16.276
C,30,B,5,75,17.443,8.667
C,30,B,40,75,27.244,17.661
C,30,B,70,75,29.077,30.381
F,40,A,5,75,9.650,6.166
F,40,A,40,75,11.270,9.558
F,40,A,70,75,17.660,15.617
C,40,B,5,75,17.735,9.116
C,40,B,40,75,25.923,18.284
C,40,B,70,75,32.257,28.030
